source,source dataset,source variables,source variables other datasets.dataset,source variables other datasets.name,target,target dataset,target variable,match,status,description,syntax,comments
Sepages,bdd_grossesse_v5_1,cy1hao1_q10,,,LifeCycle_CDM,core,mode_delivery,complete,final,,mode_delivery=cy1hao1_q10;,
Sepages,bdd_pere_1_2,fa_isco_cat_major,,,LifeCycle_CDM,core,occupcode_f1_0,complete,final,,occupcode_f1_0=fa_isco_cat_major;,
Sepages,bdd_pere_1_2,"ft2cae1_q31,ft2cae1_q32",,,LifeCycle_CDM,core,height_f1_fath,complete,final,biological father for all,if height_f1 ne . then height_f1_fath=1;,
Sepages,bdd_pere_1_2,ft2sac1_q03,,,LifeCycle_CDM,core,edu_f1_0,partial,final,Question asked in the second trimestrer,"if ft2sac1_q03 in (1,2,3) then edu_f1_0=3; 
	else if ft2sac1_q03 in (4,5) then edu_f1_0=2;
	else if ft2sac1_q03 in (6,7,8) then edu_f1_0=1;",
PELAGIE,harmonized,CHOLMES_146,,,LifeCycle_CDM,outcome,cholmes_149,complete,final,,cholmes_149=0;,
Sepages,bdd_pere_1_2,ft2sac1_q02,efr_pere_LMAB_20210902_26,fa_ethnie,LifeCycle_CDM,core,ethn1_p,partial,final,question esked : What ethnic background do you consider yourself?,"if fa_ethnie=1 then ethnie_p_efr=1; else if fa_ethnie ne . then ethnie_p_efr=2; 
if ft2sac1_q02 in (2,4) then ft2sac1_q02_cat=1;
else if ft2sac1_q02 in (1,3,5,7) then ft2sac1_q02_cat=2; 
else if ft2sac1_q02 =99 then ft2sac1_q02_cat=.;
if ft2sac1_q02_cat ne . then ethn1_p=ft2sac1_q02_cat;
else if ft2sac1_q02_cat=. then ethn1_p=ethnie_p_efr;",
Sepages,bdd_grossesse_v5_1,po_datedel,ddn_pere,ddn_pere,LifeCycle_CDM,core,agebirth_p_y,complete,final,,agebirth_p_y=YEAR(po_datedel)-YEAR (ddn_pere);,
Sepages,bdd_grossesse_v5_1,po_datedel,ddn_pere,ddn_pere,LifeCycle_CDM,core,agebirth_p_d,complete,final,,agebirth_p_d=po_datedel-ddn_pere;,
Sepages,bdd_grossesse_v5_1,po_datedel,ddn_pere,ddn_pere,LifeCycle_CDM,core,agebirth_p_fath,complete,final,biological father for all,if agebirth_p_d ne . then agebirth_p_fath=1;,
Sepages,bdd_pere_1_2,"ft2cae1_q35,ft2cae1_q36",,,LifeCycle_CDM,core,weight_f1,complete,final,,"weight_f1=mean (ft2cae1_q35, ft2cae1_q36);",
Sepages,bdd_pere_1_2,"ft2cae1_q35,ft2cae1_q36",,,LifeCycle_CDM,core,weight_f1_fath,complete,final,biological father for all,if weight_f1 ne . then weight_f1_fath=1;,
Sepages,bdd_pere_1_2,"ft2cae1_q31,ft2cae1_q32",,,LifeCycle_CDM,core,height_f1,complete,final,,"height_f1=mean (ft2cae1_q31, ft2cae1_q32);
if ident=15949 then height_f1=178;
if ident=16318 then height_f1=173;
if ident=17465 then height_f1=179.75;
if ident=22692 then height_f1=177;
if ident=24954 then height_f1=167.5;
if ident=27305 then height_f1=.;",
Sepages,bdd_pere_1_2,"ft2had1_q03,ft2had1_q04",,,LifeCycle_CDM,core,dia_bf,complete,final,,"if ft2had1_q03=1 then dia_bf=2;
else if ft2had1_q04=1 then dia_bf=3;
else if ft2had1_q03=0 and ft2had1_q04=0 then dia_bf=1;",
Sepages,bdd_pere_1_2,"ft2hae1_q15,ft2hae1_q15p1",,,LifeCycle_CDM,core,asthma_bf,complete,final,,"if ft2hae1_q15p1=1 then asthma_bf=1;
else if ft2hae1_q15p1=0 or ft2hae1_q15=0 then asthma_bf=0;",
Sepages,bdd_pere_1_2,ft2had1_q09,,,LifeCycle_CDM,core,psych_bf,partial,final,question asked : depression,psych_bf=ft2had1_q09 ;,
Sepages,bdd_grossesse_v5_1,po_datedel,,,LifeCycle_CDM,core,birth_month,complete,final,,birth_month=month(po_datedel);,
PELAGIE,harmonized,ADHD_EVAL_7,,,LifeCycle_CDM,outcome,adhd_eval_7,complete,final,,eval=2;,
Sepages,Ultrasound_all_SLC_20220428_893,date_dernieres_regles_T1_1,"Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893","Date_examen_T1_1,date_dernieres_regles_T1_2,Date_examen_T1_2,date_dernieres_regles_T1_3,Date_examen_T1_3,age_echo_semaines_T1_1,age_echo_jours_T1_1,age_echo_semaines_T1_2,age_echo_jours_T1_2,age_echo_semaines_T1_3,age_echo_jours_T1_3",ATHLETE_CDM,outcome_ath,ga_us_t1,partial,final,,"ag_ddr_T1_1=intck('day',date_dernieres_regles_T1_1 ,Date_examen_T1_1);
ag_ddr_T1_2=intck('day',date_dernieres_regles_T1_2 ,Date_examen_T1_2);
ag_ddr_T1_3=intck('day',date_dernieres_regles_T1_3 ,Date_examen_T1_3);
ag_echo_T1_1=(age_echo_semaines_T1_1*7)+age_echo_jours_T1_1;
ag_echo_T1_2=(age_echo_semaines_T1_2*7)+age_echo_jours_T1_2;
ag_echo_T1_3=(age_echo_semaines_T1_3*7)+age_echo_jours_T1_3;
diff_ag_T1_1=abs(intck('day',ag_ddr_T1_1,ag_echo_T1_1));
if diff_ag_T1_1=. and ag_ddr_T1_1=. then AG_T1_1=ag_echo_T1_1;
else if diff_ag_T1_1<=7 then AG_T1_1=ag_ddr_T1_1;
diff_ag_T1_2=abs(intck('day',ag_ddr_T1_2,ag_echo_T1_2));
if diff_ag_T1_2=. and ag_ddr_T1_2=. then AG_T1_2=ag_echo_T1_2;
else if diff_ag_T1_2<=7 then AG_T1_2=ag_ddr_T1_2;
else if diff_ag_T1_2>7 then AG_T1_2=ag_echo_T1_2;
else if diff_ag_T1_1>7 then AG_T1_1=ag_echo_T1_1;
diff_ag_T1_3=abs(intck('day',ag_ddr_T1_3,ag_echo_T1_3));
if diff_ag_T1_3=. and ag_ddr_T1_3=. then AG_T1_3=ag_echo_T1_3;
else if diff_ag_T1_3<=7 then AG_T1_3=ag_ddr_T1_3;
else if diff_ag_T1_3>7 then AG_T1_3=ag_echo_T1_3;
array t{3} AG_T1_1 AG_T1_2 AG_T1_3;
do i=1 to 3;
nb_t1=sum(nb_t1,t{i} ne .);
end;
var1_med=abs(AG_T1_1-87);
var2_med=abs(AG_T1_2-87);
var3_med=abs(AG_T1_3-87);
minAG_med=min(var1_med,var2_med,var3_med);
if minAG_med=var1_med then do; 
	gestational_age=AG_T1_1; 
	exam_date=Date_examen_T1_1;
	period_rank=""T1_1""; 
end;
else if minAG_med=var2_med then do; 
	gestational_age=AG_T1_2; 
	exam_date=Date_examen_T1_2;
	period_rank=""T1_2""; 
end;
else if minAG_med=var2_med then do; 
	gestational_age=AG_T1_3;
 	exam_date=Date_examen_T1_3;
	period_rank=""T1_3""; 
end;
ga_us_t1=gestational_age;",
Sepages,Ultrasound_all_SLC_20220428_893,date_dernieres_regles_T2_1,"Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893","Date_examen_T2_1,date_dernieres_regles_T2_1,Date_examen_T2_2,date_dernieres_regles_T2_3,Date_examen_T2_3,date_dernieres_regles_T2_4,Date_examen_T2_4,date_debut_grossesse_T2_1,date_debut_grossesse_T2_2,date_debut_grossesse_T2_3,date_debut_grossesse_T2_4",ATHLETE_CDM,outcome_ath,ga_us_t2,partial,final,,"ag_ddr_T2_1=intck('day',date_dernieres_regles_T2_1 ,Date_examen_T2_1);
ag_ddr_T2_2=intck('day',date_dernieres_regles_T2_1 ,Date_examen_T2_2);
ag_ddr_T2_3=intck('day',date_dernieres_regles_T2_3 ,Date_examen_T2_3);
ag_ddr_T2_4=intck('day',date_dernieres_regles_T2_4 ,Date_examen_T2_4);
age_echo_semaines_T2_1=floor((intck('day',date_debut_grossesse_T2_1 ,Date_examen_T2_1))/7)+2;
age_echo_jours_T2_1=((intck('day',date_debut_grossesse_T2_1 ,Date_examen_T2_1)/7)-(floor((intck('day',date_debut_grossesse_T2_1 ,Date_examen_T2_1))/7)))*7;
ag_echo_T2_1=(age_echo_semaines_T2_1*7)+age_echo_jours_T2_1;
age_echo_semaines_T2_2=floor((intck('day',date_debut_grossesse_T2_2 ,Date_examen_T2_2))/7)+2;
age_echo_jours_T2_2=((intck('day',date_debut_grossesse_T2_2 ,Date_examen_T2_2)/7)-(floor((intck('day',date_debut_grossesse_T2_2 ,Date_examen_T2_2))/7)))*7;
ag_echo_T2_2=(age_echo_semaines_T2_2*7)+age_echo_jours_T2_2;
age_echo_semaines_T2_3=floor((intck('day',date_debut_grossesse_T2_3 ,Date_examen_T2_3))/7)+2;
age_echo_jours_T2_3=((intck('day',date_debut_grossesse_T2_3 ,Date_examen_T2_3)/7)-(floor((intck('day',date_debut_grossesse_T2_3 ,Date_examen_T2_3))/7)))*7;
ag_echo_T2_3=(age_echo_semaines_T2_3*7)+age_echo_jours_T2_3;
age_echo_semaines_T2_4=floor((intck('day',date_debut_grossesse_T2_4 ,Date_examen_T2_4))/7)+2;
age_echo_jours_T2_4=((intck('day',date_debut_grossesse_T2_4 ,Date_examen_T2_4)/7)-(floor((intck('day',date_debut_grossesse_T2_4 ,Date_examen_T2_4))/7)))*7;
ag_echo_T2_4=(age_echo_semaines_T2_4*7)+age_echo_jours_T2_4;
diff_ag_T2_1=abs(intck('day',ag_ddr_T2_1,ag_echo_T2_1));
if diff_ag_T2_1=. and ag_ddr_T2_1=. then AG_T2_1=ag_echo_T2_1;
else if diff_ag_T2_1<=7 then AG_T2_1=ag_ddr_T2_1;
else if diff_ag_T2_1>7 then AG_T2_1=ag_echo_T2_1;
diff_ag_T2_2=abs(intck('day',ag_ddr_T2_2,ag_echo_T2_2));
if diff_ag_T2_2=. and ag_ddr_T2_2=. then AG_T2_2=ag_echo_T2_2;
else if diff_ag_T2_2<=7 then AG_T2_2=ag_ddr_T2_2;
else if diff_ag_T2_2>7 then AG_T2_2=ag_echo_T2_2;
diff_ag_T2_3=abs(intck('day',ag_ddr_T2_3,ag_echo_T2_3));
if diff_ag_T2_3=. and ag_ddr_T2_3=. then AG_T2_3=ag_echo_T2_3;
else if diff_ag_T2_3<=7 then AG_T2_3=ag_ddr_T2_3;
else if diff_ag_T2_3>7 then AG_T2_3=ag_echo_T2_3;
diff_ag_T2_4=abs(intck('day',ag_ddr_T2_4,ag_echo_T2_4));
if diff_ag_T2_4=. and ag_ddr_T2_4=. then AG_T2_4=ag_echo_T2_4;
else if diff_ag_T2_4<=7 then AG_T2_4=ag_ddr_T2_4;
else if diff_ag_T2_4>7 then AG_T2_4=ag_echo_T2_4;
array t{4} AG_T2_1 AG_T2_2 AG_T2_3 AG_T2_4;
do i=1 to 4;
nb_t2=sum(nb_t2,t{i} ne .);
end;
ag_med_T2_1=abs(AG_T2_1-152);
ag_med_T2_2=abs(AG_T2_2-152);
ag_med_T2_3=abs(AG_T2_3-152);
ag_med_T2_4=abs(AG_T2_4-152);
minAG_med=min(ag_med_T2_1,ag_med_T2_2,ag_med_T2_3,ag_med_T2_4);
if minAG_med=ag_med_T2_1 then do; 
	gestational_age=AG_T2_1; 
	exam_date=Date_examen_T2_1;
	period_rank=""T2_1""; 
end;
else if minAG_med=ag_med_T2_2 then do; 
	gestational_age=AG_T2_2; 
	exam_date=Date_examen_T2_2;
	period_rank=""T2_2""; 
end;
else if minAG_med=ag_med_T2_3 then do; 
	gestational_age=AG_T2_3; 
	exam_date=Date_examen_T2_3;
	period_rank=""T2_3""; 
end;
else if minAG_med=ag_med_T2_4 then do; 
	gestational_age=AG_T2_4; 
	exam_date=Date_examen_T2_4;
	period_rank=""T2_4""; 
end;
ga_us_t2=gestational_age;",
Sepages,Ultrasound_all_SLC_20220428_893,date_dernieres_regles_T3_1,"Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893","Date_examen_T3_1,date_dernieres_regles_T3_2,Date_examen_T3_2,date_dernieres_regles_T3_3,Date_examen_T3_3,date_dernieres_regles_T3_4,Date_examen_T3_4,date_dernieres_regles_T3_5,Date_examen_T3_5,date_debut_grossesse_T3_1,date_debut_grossesse_T3_2,date_debut_grossesse_T3_3,date_debut_grossesse_T3_4,date_debut_grossesse_T3_5",ATHLETE_CDM,outcome_ath,ga_us_t3,partial,final,,"ag_ddr_T3_1=intck('day',date_dernieres_regles_T3_1 ,Date_examen_T3_1);
ag_ddr_T3_2=intck('day',date_dernieres_regles_T3_2 ,Date_examen_T3_2);
ag_ddr_T3_3=intck('day',date_dernieres_regles_T3_3 ,Date_examen_T3_3);
ag_ddr_T3_4=intck('day',date_dernieres_regles_T3_4 ,Date_examen_T3_4);
ag_ddr_T3_5=intck('day',date_dernieres_regles_T3_5 ,Date_examen_T3_5);
age_echo_semaines_T3_1=floor((intck('day',date_debut_grossesse_T3_1 ,Date_examen_T3_1))/7)+2;
age_echo_jours_T3_1=((intck('day',date_debut_grossesse_T3_1 ,Date_examen_T3_1)/7)-(floor((intck('day',date_debut_grossesse_T3_1 ,Date_examen_T3_1))/7)))*7;
ag_echo_T3_1=(age_gest_semaines_T3_1*7)+age_gest_jours_T3_1;
age_echo_semaines_T3_2=floor((intck('day',date_debut_grossesse_T3_2 ,Date_examen_T3_2))/7)+2;
age_echo_jours_T3_2=((intck('day',date_debut_grossesse_T3_2 ,Date_examen_T3_2)/7)-(floor((intck('day',date_debut_grossesse_T3_2 ,Date_examen_T3_2))/7)))*7;
ag_echo_T3_2=(age_echo_semaines_T3_2*7)+age_echo_jours_T3_2;
age_echo_semaines_T3_3=floor((intck('day',date_debut_grossesse_T3_3 ,Date_examen_T3_3))/7)+2;
age_echo_jours_T3_3=((intck('day',date_debut_grossesse_T3_3 ,Date_examen_T3_3)/7)-(floor((intck('day',date_debut_grossesse_T3_3 ,Date_examen_T3_3))/7)))*7;
ag_echo_T3_3=(age_echo_semaines_T3_3*7)+age_echo_jours_T3_3;
age_echo_semaines_T3_4=floor((intck('day',date_debut_grossesse_T3_4 ,Date_examen_T3_4))/7)+2;
age_echo_jours_T3_4=((intck('day',date_debut_grossesse_T3_4 ,Date_examen_T3_4)/7)-(floor((intck('day',date_debut_grossesse_T3_4 ,Date_examen_T3_4))/7)))*7;
ag_echo_T3_4=(age_echo_semaines_T3_4*7)+age_echo_jours_T3_4;
age_echo_semaines_T3_5=floor((intck('day',date_debut_grossesse_T3_5 ,Date_examen_T3_5))/7)+2;
age_echo_jours_T3_5=((intck('day',date_debut_grossesse_T3_5 ,Date_examen_T3_5)/7)-(floor((intck('day',date_debut_grossesse_T3_5 ,Date_examen_T3_5))/7)))*7;
ag_echo_T3_5=(age_echo_semaines_T3_5*7)+age_echo_jours_T3_5;
diff_ag_T3_1=abs(intck('day',ag_ddr_T3_1,ag_echo_T3_1));
if diff_ag_T3_1=. and ag_ddr_T3_1=. then AG_T3_1=ag_echo_T3_1;
else if diff_ag_T3_1<=7 then AG_T3_1=ag_ddr_T3_1;
else if diff_ag_T3_1>7 then AG_T3_1=ag_echo_T3_1;
diff_ag_T3_2=abs(intck('day',ag_ddr_T3_2,ag_echo_T3_2));
if diff_ag_T3_2=. and ag_ddr_T3_2=. then AG_T3_2=ag_echo_T3_2;
else if diff_ag_T3_2<=7 then AG_T3_2=ag_ddr_T3_2;
else if diff_ag_T3_2>7 then AG_T3_2=ag_echo_T3_2;
diff_ag_T3_3=abs(intck('day',ag_ddr_T3_3,ag_echo_T3_3));
if diff_ag_T3_3=. and ag_ddr_T3_3=. then AG_T3_3=ag_echo_T3_3;
else if diff_ag_T3_3<=7 then AG_T3_3=ag_ddr_T3_3;
else if diff_ag_T3_3>7 then AG_T3_3=ag_echo_T3_3;
diff_ag_T3_4=abs(intck('day',ag_ddr_T3_4,ag_echo_T3_4));
if diff_ag_T3_4=. and ag_ddr_T3_4=. then AG_T3_4=ag_echo_T3_4;
else if diff_ag_T3_4<=7 then AG_T3_4=ag_ddr_T3_4;
else if diff_ag_T3_4>7 then AG_T3_4=ag_echo_T3_4;
diff_ag_T3_5=abs(intck('day',ag_ddr_T3_5,ag_echo_T3_5));
if diff_ag_T3_5=. and ag_ddr_T3_5=. then AG_T3_5=ag_echo_T3_5;
else if diff_ag_T3_5<=7 then AG_T3_5=ag_ddr_T3_5;
else if diff_ag_T3_5>7 then AG_T3_5=ag_echo_T3_5;
array t{5} AG_T3_1 AG_T3_2 AG_T3_3 AG_T3_4 AG_T3_5;
do i=1 to 5;
nb_T3=sum(nb_T3,t{i} ne .);
end;
ag_med_T3_1=abs(AG_T3_1-227);
ag_med_T3_2=abs(AG_T3_2-227);
ag_med_T3_3=abs(AG_T3_3-227);
ag_med_T3_4=abs(AG_T3_4-227);
ag_med_T3_5=abs(AG_T3_5-227);
minAG_med=min(ag_med_T3_1,ag_med_T3_2,ag_med_T3_3,ag_med_T3_4,ag_med_T3_5);
if minAG_med=ag_med_T3_1 then do; 
	gestational_age=AG_T3_1; 
	exam_date=Date_examen_T3_1;
	period_rank=""T3_1""; 
end;
else if minAG_med=ag_med_T3_2 then do; 
	gestational_age=AG_T3_2; 
	exam_date=Date_examen_T3_2;
	period_rank=""T3_2""; 
end;
else if minAG_med=ag_med_T3_3 then do; 
	gestational_age=AG_T3_3;
exam_date=Date_examen_T3_3; 
	period_rank=""T3_3""; 
end;
else if minAG_med=ag_med_T3_4 then do; 
	gestational_age=AG_T3_4; 
	exam_date=Date_examen_T3_4;
	period_rank=""T3_4""; 
end;
else if minAG_med=ag_med_T3_5 then do; 
	gestational_age=AG_T3_5;
    exam_date=Date_examen_T3_5;
	period_rank=""T3_5""; 
end;
ga_us_t3=gestational_age;",
Sepages,Ultrasound_all_SLC_20220428_893,lcc_T1_1,"Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893","lcc_T1_2,lcc_T1_3",ATHLETE_CDM,outcome_ath,CRL_t1,partial,final,,"if period_rank=""T1_1"" then do; 
	outcome_val=strip(put(lcc_T1_1,best.));
end;
else if period_rank=""T1_2"" then do; 
	outcome_val=strip(put(lcc_T1_2,best.));
end;
else if period_rank=""T1_3"" then do; 
	outcome_val=strip(put(lcc_T1_3,best.));
end;
CRL_t1=outcome_val;",
Sepages,Ultrasound_all_SLC_20220428_893,biometrie_bip_T1_1,"Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893","biometrie_bip_T1_2,biometrie_bip_T1_3",ATHLETE_CDM,outcome_ath,fetus_biparietal_diam_t1,partial,final,,"if period_rank=""T1_1"" then do; 
	outcome_val=strip(put(biometrie_bip_T1_1,best.));
end;
else if period_rank=""T1_2"" then do; 
	outcome_val=strip(put(biometrie_bip_T1_2,best.));
end;
else if period_rank=""T1_3"" then do; 
	outcome_val=strip(put(biometrie_bip_T1_3,best.));
end;
biparietal_diam_t1=outcome_val;",
PELAGIE,pelagie_dosage12,Q12_CHOLESTEROL_TOTAL,"pelagie_exam12,pelagie_exam12","AGE_EXAM_MOIS,AGE_EXAM_JOUR",LifeCycle_CDM,outcome,chol_146,complete,final,,"pelagie_dosage12$chol_146<-ifelse(pelagie_dosage12$age_exam_mois<147,pelagie_dosage12$Q12_Cholesterol_total,NA)",
Sepages,Ultrasound_all_SLC_20220428_893,biometrie_bip_T2_1,"Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893","biometrie_bip_T2_2,biometrie_bip_T2_3,biometrie_bip_T2_4",ATHLETE_CDM,outcome_ath,fetus_biparietal_diam_t2,partial,final,,"if period_rank=""T2_1"" then do; 
	outcome_val=strip(put(biometrie_bip_T2_1,best.));
end;
else if period_rank=""T2_2"" then do; 
	outcome_val=strip(put(biometrie_bip_T2_2,best.));
end;
else if period_rank=""T2_3"" then do; 
	outcome_val=strip(put(biometrie_bip_T2_3,best.));
end;
else if period_rank=""T2_4"" then do; 
	outcome_val=strip(put(biometrie_bip_T2_4,best.));
end;
fetus_biparietal_diam_t2=outcome_val;",
Sepages,Ultrasound_all_SLC_20220428_893,biometrie_bip_T3_1,"Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893","biometrie_bip_T3_2,biometrie_bip_T3_3,biometrie_bip_T3_4,biometrie_bip_T3_5",ATHLETE_CDM,outcome_ath,fetus_biparietal_diam_t3,partial,final,,"if period_rank=""T3_1"" then do; 
	outcome_val=strip(put(biometrie_bip_T3_1,best.));
end;
else if period_rank=""T3_2"" then do; 
	outcome_val=strip(put(biometrie_bip_T3_2,best.));
end;
else if period_rank=""T3_3"" then do; 
	outcome_val=strip(put(biometrie_bip_T3_3,best.));
end;
else if period_rank=""T3_4"" then do; 
	outcome_val=strip(put(biometrie_bip_T3_4,best.));
end;
else if period_rank=""T3_5"" then do; 
	outcome_val=strip(put(biometrie_bip_T3_5,best.));
end;
fetus_biparietal_diam_t3=outcome_val;",
Sepages,Ultrasound_all_SLC_20220428_893,,,,ATHLETE_CDM,outcome_ath,fetus_weight_t2,partial,final,,fetus_weight_t2 = 10**(1.326 - 0.00326*fetus_abd_circum_t2*fetus_femur_length_t2 + 0.0107*fetus_head_circum_t2 + 0.0438*fetus_abd_circum_t2 + 0.158*fetus_femur_length_t2);,
Sepages,Ultrasound_all_SLC_20220428_893,perimetre_cranien_T2_1,"Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893","perimetre_cranien_T2_2,perimetre_cranien_T2_3,perimetre_cranien_T2_4",ATHLETE_CDM,outcome_ath,fetus_head_circum_t2,partial,final,,"if period_rank=""T2_1"" then do; 
	outcome_val=strip(put(perimetre_cranien_T2_1,best.));
end;
else if period_rank=""T2_2"" then do; 
	outcome_val=strip(put(perimetre_cranien_T2_2,best.));
end;
else if period_rank=""T2_3"" then do; 
	outcome_val=strip(put(perimetre_cranien_T2_3,best.));
end;
else if period_rank=""T2_4"" then do; 
	outcome_val=strip(put(perimetre_cranien_T2_4,best.));
end;
fetus_head_circum_t2=outcome_val;",
Sepages,Ultrasound_all_SLC_20220428_893,longueur_femur_T2_1,"Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893","longueur_femur_T2_2,longueur_femur_T2_3,longueur_femur_T2_4",ATHLETE_CDM,outcome_ath,fetus_femur_length_t2,partial,final,,"if period_rank=""T2_1"" then do; 
	outcome_val=strip(put(longueur_femur_T2_1,best.));
end;
else if period_rank=""T2_2"" then do; 
	outcome_val=strip(put(longueur_femur_T2_2,best.));
end;
else if period_rank=""T2_3"" then do; 
	outcome_val=strip(put(longueur_femur_T2_3,best.));
end;
else if period_rank=""T2_4"" then do; 
	outcome_val=strip(put(longueur_femur_T2_4,best.));
end;
fetus_femur_length_t2=outcome_val;",
Sepages,Ultrasound_all_SLC_20220428_893,perimetre_cranien_T3_1,"Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893","perimetre_cranien_T3_2,perimetre_cranien_T3_3,perimetre_cranien_T3_4,perimetre_cranien_T3_5",ATHLETE_CDM,outcome_ath,fetus_head_circum_t3,partial,final,,"if period_rank=""T3_1"" then do; 
	outcome_val=strip(put(perimetre_cranien_T3_1,best.));
end;
else if period_rank=""T3_2"" then do; 
	outcome_val=strip(put(perimetre_cranien_T3_2,best.));
end;
else if period_rank=""T3_3"" then do; 
	outcome_val=strip(put(perimetre_cranien_T3_3,best.));
end;
else if period_rank=""T3_4"" then do; 
	outcome_val=strip(put(perimetre_cranien_T3_4,best.));
end;
else if period_rank=""T3_5"" then do; 
	outcome_val=strip(put(perimetre_cranien_T3_5,best.));
end;",
Sepages,Ultrasound_all_SLC_20220428_893,,,,ATHLETE_CDM,outcome_ath,fetus_weight_t3,partial,final,,fetus_weight_t3 = 10**(1.326 - 0.00326*fetus_abd_circum_t3*fetus_femur_length_t3 + 0.0107*fetus_head_circum_t3 + 0.0438*fetus_abd_circum_t3 + 0.158*fetus_femur_length_t3);,
Sepages,Ultrasound_all_SLC_20220428_893,,,,ATHLETE_CDM,outcome_ath,biparietal_diam_sdsWHO_t2,partial,final,,RScript standardization fetal growth ATHLETE_v2.1,
Sepages,Ultrasound_all_SLC_20220428_893,perimetre_abdominal_T2_1,"Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893","perimetre_abdominal_T2_2,perimetre_abdominal_T2_3,perimetre_abdominal_T2_4",ATHLETE_CDM,outcome_ath,fetus_abd_circum_t2,partial,final,,"if period_rank=""T2_1"" then do; 
	outcome_val=strip(put(perimetre_abdominal_T2_1,best.));
end;
else if period_rank=""T2_2"" then do; 
	outcome_val=strip(put(perimetre_abdominal_T2_2,best.));
end;
else if period_rank=""T2_3"" then do; 
	outcome_val=strip(put(perimetre_abdominal_T2_3,best.));
end;
else if period_rank=""T2_4"" then do; 
	outcome_val=strip(put(perimetre_abdominal_T2_4,best.));
end;
fetus_abd_circum_t2=outcome_val;",
Sepages,Ultrasound_all_SLC_20220428_893,perimetre_abdominal_T3_1,"Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893,Ultrasound_all_SLC_20220428_893","perimetre_abdominal_T3_2,perimetre_abdominal_T3_3,perimetre_abdominal_T3_4,perimetre_abdominal_T3_5",ATHLETE_CDM,outcome_ath,fetus_abd_circum_t3,partial,final,,"if period_rank=""T3_1"" then do; 
	outcome_val=strip(put(perimetre_abdominal_T3_1,best.));
end;
else if period_rank=""T3_2"" then do; 
	outcome_val=strip(put(perimetre_abdominal_T3_2,best.));
end;
else if period_rank=""T3_3"" then do; 
	outcome_val=strip(put(perimetre_abdominal_T3_3,best.));
end;
else if period_rank=""T3_4"" then do; 
	outcome_val=strip(put(perimetre_abdominal_T3_4,best.));
end;
else if period_rank=""T3_5"" then do; 
	outcome_val=strip(put(perimetre_abdominal_T3_5,best.));
end;
fetus_abd_circum_t3=outcome_val;",
Sepages,Ultrasound_all_SLC_20220428_893,,,,ATHLETE_CDM,outcome_ath,head_circum_sdsWHO_t3,partial,final,,RScript standardization fetal growth ATHLETE_v2.1,
Sepages,Ultrasound_all_SLC_20220428_893,,,,ATHLETE_CDM,outcome_ath,abd_circum_sdsWHO_t3,partial,final,,RScript standardization fetal growth ATHLETE_v2.1,
PELAGIE,maj_ddn_2021,DDN_2021,pelagie_q0,DEBGROSF,LifeCycle_CDM,core,ga_us,complete,final,,ga_us=int(((ddn_2021-DEBGROSF)/7)+2)*7,
