id,pid,acronym,name,local name,keywords,website,lead organisation,additional organisations,description,contact email,type,type other,design,design description,design schematic,design schematic_filename,collection type,logo,logo_filename,number of participants,number of participants with samples,countries,regions,population age groups,inclusion criteria,other inclusion criteria,start year,end year,population disease,population oncology topology,population oncology morphology,prelinked,linkage possibility description,release type,release description,linkage options,data holder,data access conditions,data use conditions,data access conditions description,data access fee,design paper,publications,informed consent type,funding statement,acknowledgements,supplementary information
ELFE,,ELFE,"Etude Longitudinale Française depuis l'Enfance""  (French longitudinal study of children)",,National,https://www.elfe-france.fr/en/,INSERM,,"ELFE is the first French national birth cohort. Its objective is to study determinants of the development, health and socialization of children from birth to adulthood through a multidisciplinary approach. A total of 18 329 children were recruited at birth in a random sample of maternity units in metropolitan France during 25 selected days of 2011 spread over the year. Participation rates at the age 2-month, 1- and 2-year and 3.5-year parental interviews were 92%, 86%, 82% and 80%, respectively, of contacted participants. The ELFE has an open-data policy after an 18-month exclusivity period following each release of new data. The data-access policy, study protocols, questionnaires and data catalogue can be found online: [https://www.ELFE-france.fr/en/].",,Birth cohort,,Longitudinal,,,,"Retrospective,Prospective",,,18329,,France,,,,,2011,2011,,,,,,Continuous,,yes,,health or medical or biomedical research,,"- Submission of the project proposal to the cohort PI (Marie-Aline Charles)
- Approval of the project by Elfe data access committee (takes 2 weeks)​ - Signature of a data access agreement
- Data made available for analysis by Lucinda (credentials will be sent to the person requesting access to the data)",,https://doi.org/10.1093/ije/dyz227,,,"The Ministries of the Environment, Health and Research provided initial funding for the ELFE cohort.
The funding for the first 5 years of childhood follow-up was obtained from the national ‘Investment for the Future’
research funding program for a joint project bringing together the ELFE and Epipage 2 cohorts.",,
ENIGMA,,ENIGMA,Assesment of Multiomics Profiles in Health and Disease,,,,IMTM,,,,,,,,,,,,,,,,,"Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years)",,,,,,,,,,,,,,,,,,,,,,,
NFBC1986,,NFBC1986,Northern Finland Birth Cohort 1986,,,https://www.oulu.fi/nfbc,UOULU,,"NFBC1986 is a longitudinal one-year birth cohort study from an unselected population. The cohort included all the mothers (N=9362) with children whose expected date of birth felt between July 1st 1985 - June 30th 1986 in the two northernmost provinces on Finland (Oulu and Lapland). A small percentage of the births occurred towards the end of June 1985 and begin of July 1986.

The number of deliveries in the cohort was 9362, which was 99% of all the deliveries taking place in the target period of the cohort. Altogether 9479 children were born into the cohort, 9432 of them live born. The original data have been supplemented by data collected with postal questionnaires at the ages of 7, 8 and 16 years and various hospital records and statistical register data. The latest data collection with clinical examinations and questionnaires was at the age of 33 years.",,Birth cohort,,Longitudinal,,,,Prospective,,,9479,,Finland,"Lapland,North Ostrobothnia","Prenatal,Infant (0-23 months),Newborn (0-1 months),Infants and toddlers (2-23 months),Child (2-12 years),Adolescent (13-17 years),Young adult (18-24 years),Adult (25-44 years)",,,1985,,,,,,,Closed dataset,,yes,,health or medical or biomedical research,,https://www.oulu.fi/nfbc/materialrequest,,http://urn.fi/urn:nbn:fi:att:f5c10eef-3d25-4bd0-beb8-f2d59df95b8e,"https://doi.org/10.1111/j.1365-3016.1997.tb00007.x,https://doi.org/10.1111/j.1471-0528.1993.tb12971.x",,"EU QLG1-CT-2000-01643 (EUROBLCS) Grant no. E51560, NorFA Grant no. 731, 20056, 30167, USA / NIH 2000 G DF682 Grant no. 50945",We thank all cohort members and researchers who have participated in the study. We also wish acknowledge the work of the NFBC project center.,
RCGP RSC,,,Royal College of General Practitioners Research Surveillance Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSYCONN,,PSYCONN,Psychosis Cohort Northern Netherlands,Psychose Cohort Noord Nederland,schizophrenia schizofrenie psychotic psychotisch psychose databank Nederland PHAMOUS EPO PROGRS PROGR-S RQMIS RQ-MIS,https://ipec-project.com,"GGZ Drenthe,GGZ Friesland,Lentis Research,UMCG","GGZ Drenthe,GGZ Friesland,Lentis Research,UMCG","PSYCONN (=Psychosis Cohort Northern Netherlands) is a combination of 3 datasets from the northern part of the Netherlands; PROGR-S (=Psychosis Recent Onset GRoningen Survey), PHAMOUS (=Pharmacotherapy Outcome and Monitoring Survey) and RQ-MIS (=RoQua Management Information System). Also, see https://umcgresearchdatacatalogue.nl/UMCG/ssr-catalogue/cohorts/MindLines. PROGR-S, initiated in 1997 without an age restriction, collects diagnostic measurements of patients with a suspected recent-onset psychotic episode or recurrent psychotic episode not diagnosed as such before. PHAMOUS, initiated in 2006, contains follow-up data of patients ≥18 years of age with a psychotic disorder who receive care from mental health care institutions in the northern part of the Netherlands (University Medical Center Groningen (UMCG)/University Center for Psychiatry (UCP), Lentis, GGZ Drenthe or GGZ Friesland). PROGR-S and PHAMOUS are both ongoing naturalistic prospective cohort studies. PHAMOUS participants will only be included when they are also enrolled in PROGR-S. RQ-MIS contains health care consumption, socio-demographic, and diagnosis data. PSYCONN baseline data is collected from PROGR-S and RQ-MIS. PSYCONN outcome data is collected from PHAMOUS, RQ-MIS, and an additional medical records file search.",ipec@umcg.nl,"Clinical cohort,Registry",,Longitudinal,,,,,,,1000,,Netherlands (the),"Groningen,Friesland,Drenthe","Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years),Aged (65-79 years),Aged (80+ years)",,,1998,2018,,,,,,Periodically,,,UMCG,,,"IPEC set up a virtual databank and implemented a technical infrastructure for remote federated analysis of individual-level data of psychosis patients. With this platform, individual patient data remains stored on local servers of participating institutions and individual patient data will not be transported to one central site. 
Contact IPEC via ipec@umcg.nl to receive more information about access to the virtual databank.",,,,,"IPEC was supported by the 2020 SIRS Research Harmonization Group Award which included a grant in the amount of $5000 USD to Prof. Wim Veling and Prof. Craig Morgan; an internal MD-PhD research grant of the University Medical Center Groningen (grant number 18-41) to Vera Brink, MSc; a grant in the amount of 400,000 DKK of the Capital Regions Research council to Dr Nikolai Albert; and the participating institutions (Lentis Psychiatric Institute, GGZ Drenthe, GGZ Friesland, University Center Psychiatry of University Medical Center Groningen, Bispebjerg hospital, Psychiatric Hospital Risskov, and Psychiatric Centre Copenhagen).","IPEC wishes to acknowledge the services of all the study participants, staff, research groups, and institutions collaborating in IPEC, and of MOLGENIS and RoQua, who helped build and maintain the technical infrastructure.",
CRC-Cohort,,CRC-Cohort,Colorectal Cancer Cohort,,,,,,"The colorectal cancer cohort (CRC-Cohort) was developed by BBMRI-ERIC, its National Nodes and BBMRI-ERIC partner biobanks within the EU-funded project ADOPT BBMRI-ERIC (H2020) as a use case for piloting access to European biobanks. It became a permanent asset of the BBMRI-ERIC infrastructure after the end of the ADOPT project. The CRC-Cohort collection is a joint long-term European endeavor, which enables existing, well-established biobanks to connect with BBMRI-ERIC and obtain increased recognition and visibility along with new users and data.",petr.holub@bbmri-eric.eu,Biobank,,Cross-sectional,,,,Retrospective,,,10500,,,,,,,,,,,,,,,,,,"general research use,health or medical or biomedical research,disease specific research",,,,,,,,,
BAVL,21.12110/1.F73E-1A8B-AE9F,BAVL,Biobank+NKI,,,,,,THe+collection+of+biobanks+in+the+NKI,cfmp@nki.nl,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
Cardamon Clinical Trial Samples,21.12110/1.1C07-2BF5-9A7F,,Cardamon Clinical Trial Samples,,,,,,Samples taken as part of the Cardamon clinical trial,ctc.cardamon@ucl.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
RS3,,Rotterdam Study third cohort,"Rotterdam Study, third cohort",,Biomarkers · Cancer and related diseases · Cardiovascular diseases · Cohort study · Dermatological diseases · Endocrine diseases · Epidemiologic methods · Genetic and molecular epidemiology · Nutrition and lifestyle epidemiology · Liver diseases · Neurological diseases · Oncology · Ophthalmic diseases · Otolaryngological diseases · Pharmacoepidemiology · Population imaging · Renal diseases · Psychiatric diseases · Re,https://www.ergo-onderzoek.nl/,EMC,,"The Rotterdam Study is an ongoing prospective cohort study that started in 1990 in the city of Rotterdam, The Netherlands. The study aims to unravel etiology, preclinical course, natural history and potential targets for intervention for chronic diseases in mid-life and late-life.",,Population cohort,,Longitudinal,,,,"Retrospective,Prospective",,,6057,3932,Netherlands (the),Rotterdam,"Middle-aged (45-64 years),Aged (65+ years)",,,2006,,,,,,,Continuous,Once a follow-up is completed and data have been processed.,no,,health or medical or biomedical research,,,,https://doi.org/10.1007/s10654-020-00640-5,"https://doi.org/10.1007/s10654-009-9386-z,https://doi.org/10.1007/BF00145007,https://doi.org/10.1007/s10654-007-9199-x,https://doi.org/10.1007/s10654-011-9610-5,https://doi.org/10.1007/s10654-013-9866-z,https://doi.org/10.1007/s10654-015-0082-x,https://doi.org/10.1007/s10654-017-0321-4",,"The Rotterdam Study is supported by the Erasmus MC University Medical Center and Erasmus University Rotterdam; The Netherlands Organisation for Scientifc Research (NWO); The Netherlands Organisation for Health Research and Development (ZonMw); the Research Institute for Diseases in the Elderly (RIDE); The Netherlands Genomics Initiative (NGI); the Ministry of Education, Culture and Science; the Ministry of Health, Welfare and Sports; the European Commission (DG XII); and the Municipality of Rotterdam.","The contribution of inhabitants, general practitioners and pharmacists of the Ommoord district to the Rotterdam Study is gratefully acknowledged. The contributions to the Management Team specifcally and the Rotterdam Study at large of the following persons are pivotal to the daily operations of the study and highly appreciated: Jacobus Lubbe, Gabriëlle Bakker, Eric Neeleman, Jeannette Vergeer, Anneke Korving, Pauline van Wijngaarden, Jolande Verkroost – van Heemst, Silvan Licher, Isabel van der Velp",
RAINE,,RAINE,The West Australian Pregnancy Cohort,,,https://rainestudy.org.au/,UWA,,"The Raine Study is one of the most comprehensive pregnancy birth cohort studies in the world. It is a rich resource for the study of environmental and genetic factors that affect health and development and can provide unique insights into the natural history of human diseases. Between May 1989 and November 1991, 2900 pregnant women were recruited into the study and their children have been assessed intensively over the past three decades.

Prospective longitudinal data has been collected at multiple time-points over pregnancy, infancy, childhood, adolescence and young adulthood and there is broad multidisciplinary data on physical, mental and social aspects of development.

The main cohort (Gen2) are now almost 30 years of age and maintain a keen sense of commitment to the Raine Study. Their data has been genotyped and data linkage with other publicly held datasets (e.g. school results and hospital records) is available. There are stored biological samples and established collaborative research networks across a wide variety of disciplines.",,Population cohort,,Longitudinal,,,,Prospective,,,2868,,,Western Australia,,,,1989,2020,,,,,,Continuous,Upon completion of follow-up,,,health or medical or biomedical research,,1. Submit a project proposal 2. Approval of the project ​3. Sign a data access agreement (DAA) 4. Data access with credentials (via DATASHIEL,,https://doi.org/10.5694/mja12.10698,,,"The Raine Study has been funded by program and project grants from the Australian National Health and Medical Research Council, the Commonwealth Scientific and Industrial Research Organisation, Healthway and the Lions Eye Institute in Western Australia. The Raine Study Gen2-17 year follow-up was funded by the NHMRC Program Grant (Stanley et al, ID 353514) and the GWAS data from the Gen2-17 year follow-up was funded by the NHMRC (Huang et al, ID 1059711) grant. The Raine Study participation in LIFECYCLE was funded by a grant from the National Health and Medical Research Council, Australia (GNT114285). The University of Western Australia (UWA), Curtin University, the Raine Medical Research Foundation, the Telethon Kids Institute, the Women’s and Infant’s Research Foundation (KEMH), Murdoch University, The University of Notre Dame Australia and Edith Cowan University provide funding for the Core Management of the Raine Study. REF is a recipient of a National Health and Medical Research Council Early Career Fwship.",,
GECKO,,GECKO,The Groningen Expert Center for Kids with Obesity Drenthe cohort,,,https://www.rug.nl/research/portal/datasets/gecko-drenthe-cohort(3e14f7ca-a55d-41d9-9803-19302aa4ea87).html,,,,,Clinical cohort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTCC,21.12110/1.8b1d-2d6a-ba57,MTCC,Muscle Tissue Culture Collection,,,http://www.uni-muenchen.de/index.html,,,,sabine.krause@med.uni-muenchen.de,Biobank,,,,,,,,,,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,
RS2,,Rotterdam Study second cohort,"Rotterdam Study, second cohort",,Biomarkers · Cancer and related diseases · Cardiovascular diseases · Cohort study · Dermatological diseases · Endocrine diseases · Epidemiologic methods · Genetic and molecular epidemiology · Nutrition and lifestyle epidemiology · Liver diseases · Neurological diseases · Oncology · Ophthalmic diseases · Otolaryngological diseases · Pharmacoepidemiology · Population imaging · Renal diseases · Psychiatric diseases · Re,https://www.ergo-onderzoek.nl/,EMC,,"The Rotterdam Study is an ongoing prospective cohort study that started in 1990 in the city of Rotterdam, The Netherlands. The study aims to unravel etiology, preclinical course, natural history and potential targets for intervention for chronic diseases in mid-life and late-life.",,Population cohort,,Longitudinal,,,,"Retrospective,Prospective",,,4472,3011,Netherlands (the),Rotterdam,"Middle-aged (45-64 years),Aged (65+ years)",,,2000,,,,,,,Continuous,Once a follow-up is completed and data have been processed.,no,,health or medical or biomedical research,,,,https://doi.org/10.1007/s10654-020-00640-5,"https://doi.org/10.1007/s10654-009-9386-z,https://doi.org/10.1007/BF00145007,https://doi.org/10.1007/s10654-007-9199-x,https://doi.org/10.1007/s10654-011-9610-5,https://doi.org/10.1007/s10654-013-9866-z,https://doi.org/10.1007/s10654-015-0082-x,https://doi.org/10.1007/s10654-017-0321-4",,"The Rotterdam Study is supported by the Erasmus MC University Medical Center and Erasmus University Rotterdam; The Netherlands Organisation for Scientifc Research (NWO); The Netherlands Organisation for Health Research and Development (ZonMw); the Research Institute for Diseases in the Elderly (RIDE); The Netherlands Genomics Initiative (NGI); the Ministry of Education, Culture and Science; the Ministry of Health, Welfare and Sports; the European Commission (DG XII); and the Municipality of Rotterdam.","The contribution of inhabitants, general practitioners and pharmacists of the Ommoord district to the Rotterdam Study is gratefully acknowledged. The contributions to the Management Team specifcally and the Rotterdam Study at large of the following persons are pivotal to the daily operations of the study and highly appreciated: Jacobus Lubbe, Gabriëlle Bakker, Eric Neeleman, Jeannette Vergeer, Anneke Korving, Pauline van Wijngaarden, Jolande Verkroost – van Heemst, Silvan Licher, Isabel van der Velp",
